"pathway","pval","padj","log2err","ES","NES","size","TERM"
"GO:0033147",0.238161559888579,0.509740553311263,0.100633389423036,0.595319524363816,1.2166839145717,10,"negative regulation of intracellular estrogen receptor signaling pathway"
"GO:2000353",0.237704918032787,0.509740553311263,0.184706471207739,-0.43595774744885,-1.17326987553774,14,"positive regulation of endothelial cell apoptotic process"
"GO:0006605",0.240566037735849,0.512205188679245,0.0902635484340068,0.460510828196936,1.17783256670222,32,"protein targeting"
"GO:0007566",0.240537240537241,0.512205188679245,0.0922597260527354,0.49408648298619,1.19660484810303,23,"embryo implantation"
"GO:0045744",0.240282685512367,0.512205188679245,0.169570644405628,-0.468724634925964,-1.20042756529077,11,"negative regulation of G protein-coupled receptor signaling pathway"
"GO:0048872",0.24,0.512205188679245,0.181383128498408,-0.450781252564878,-1.18277068804858,13,"homeostasis of number of cells"
"GO:1900153",0.24,0.512205188679245,0.181383128498408,-0.446367763103024,-1.17119046829057,13,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:2000272",0.240837696335079,0.512250001362019,0.096240602328129,0.539432564568903,1.20731497031172,15,"negative regulation of signaling receptor activity"
"GO:0035902",0.243351063829787,0.517057769717344,0.0965629554309422,0.555286540497607,1.20994526426917,13,"response to immobilization stress"
"GO:0032446",0.244784422809458,0.518486383650292,0.0988903007520636,0.582289381711807,1.2113868267847,11,"protein modification by small protein conjugation"
"GO:0046697",0.244360902255639,0.518486383650292,0.0928481214159878,0.511931467540425,1.19729277945668,19,"decidualization"
"GO:0050807",0.24468085106383,0.518486383650292,0.096240602328129,0.554045155598968,1.20724034046911,13,"regulation of synapse organization"
"GO:0034113",0.245901639344262,0.520313613684961,0.211400189384923,-0.385300527159208,-1.17005686557859,23,"heterotypic cell-cell adhesion"
"GO:0007166",0.247462661052426,0.523075159453111,0.249246554383295,-0.23395814336219,-1.02333261121967,183,"cell surface receptor signaling pathway"
"GO:0031640",0.248956884561892,0.525147442770388,0.0978773277424561,0.578035071248741,1.20253621776817,11,"killing of cells of other organism"
"GO:1901799",0.248956884561892,0.525147442770388,0.0978773277424561,0.578054370532559,1.20257636773298,11,"negative regulation of proteasomal protein catabolic process"
"GO:0055074",0.24934036939314,0.52541413921606,0.0946646223153342,0.544902626023823,1.20366126200751,14,"calcium ion homeostasis"
"GO:0046931",0.250347705146036,0.526993521440266,0.09754492162472,0.577796936798892,1.2020408061316,11,"pore complex assembly"
"GO:1903861",0.250950570342205,0.52771910059616,0.172324344900946,-0.451638581276432,-1.17361439933169,12,"positive regulation of dendrite extension"
"GO:0010468",0.251266464032421,0.527772613662184,0.0795564677235957,0.371275486489167,1.11481577374767,155,"regulation of gene expression"
"GO:0021549",0.252380952380952,0.527772613662184,0.0880945010398517,0.470597326436878,1.17024130791467,27,"cerebellum development"
"GO:0031146",0.252525252525253,0.527772613662184,0.0847985102819124,0.434634646664467,1.16605822848393,44,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0042789",0.252089136490251,0.527772613662184,0.0972150808846466,0.590346436636504,1.20652016956428,10,"mRNA transcription by RNA polymerase II"
"GO:0045722",0.252089136490251,0.527772613662184,0.0972150808846466,0.590658929346516,1.20715882634964,10,"positive regulation of gluconeogenesis"
"GO:0048821",0.251908396946565,0.527772613662184,0.0919686140000427,0.520902371538645,1.19669957006298,17,"erythrocyte development"
"GO:0032418",0.252969121140143,0.527955493741307,0.0878312634480124,0.466263756833022,1.16652808613966,28,"lysosome localization"
"GO:1900025",0.253129346314325,0.527955493741307,0.096887770327544,0.577070461076395,1.20052945602313,11,"negative regulation of substrate adhesion-dependent cell spreading"
"GO:0002726",0.25452016689847,0.52869839546796,0.0965629554309422,0.575219441224935,1.19667861976439,11,"positive regulation of T cell cytokine production"
"GO:0030308",0.254450261780105,0.52869839546796,0.0806388495950661,0.39358442456362,1.14456901107513,87,"negative regulation of cell growth"
"GO:0044319",0.253989361702128,0.52869839546796,0.0940503465727813,0.548086577501298,1.19425685748284,13,"wound healing, spreading of cells"
"GO:0045665",0.254480286738351,0.52869839546796,0.0878312634480124,0.463015202212989,1.1624106149287,29,"negative regulation of neuron differentiation"
"GO:0048568",0.256869772998805,0.53303737665945,0.0873098257637931,0.460883813519496,1.15705971320882,29,"embryonic organ development"
"GO:0035987",0.257918552036199,0.534670913146035,0.186432558434075,-0.393858637149672,-1.16070886177921,18,"endodermal cell differentiation"
"GO:0006874",0.258241758241758,0.534798534798535,0.0824344091527096,0.423689500028063,1.16825374924506,51,"cellular calcium ion homeostasis"
"GO:0032760",0.258711721224921,0.535229512331719,0.0802023444698144,0.396991650358691,1.14393059385835,79,"positive regulation of tumor necrosis factor production"
"GO:0006352",0.259213759213759,0.535725806451613,0.0883594442500905,0.491831050600638,1.18022659170637,22,"DNA-templated transcription, initiation"
"GO:0044257",0.259894459102902,0.535725806451613,0.0922597260527354,0.53989536670578,1.19260048934445,14,"cellular protein catabolic process"
"GO:0097320",0.26,0.535725806451613,0.173747838999571,-0.433345110561646,-1.13702131946519,13,"plasma membrane tubulation"
"GO:2000377",0.259541984732824,0.535725806451613,0.0902635484340068,0.519032764725986,1.19240441267621,17,"regulation of reactive oxygen species metabolic process"
"GO:0045651",0.26063829787234,0.535960443512137,0.0925528864684773,0.546023878396253,1.18976232568395,13,"positive regulation of macrophage differentiation"
"GO:0097502",0.260445682451253,0.535960443512137,0.0952879846194844,0.586689707557024,1.19904673173994,10,"mannosylation"
"GO:0034504",0.262470308788599,0.537026337501397,0.0857844408075645,0.461102637178326,1.15361567134246,28,"protein localization to nucleus"
"GO:0045724",0.262295081967213,0.537026337501397,0.175204047558551,-0.413879063578295,-1.11385068909495,14,"positive regulation of cilium assembly"
"GO:0045746",0.261818181818182,0.537026337501397,0.0870515867946735,0.479800475237765,1.1746620549401,25,"negative regulation of Notch signaling pathway"
"GO:0050768",0.261603375527426,0.537026337501397,0.178219874951973,-0.40320353944509,-1.14454862447539,16,"negative regulation of neurogenesis"
